Unique_trajectory,Elev,Vinit,Vavg,Vel_diff,Duration,Deceleration ,HtBeg,HtEnd,AtmDensBeg,AtmDensPeak,AtmDensEnd,TrailLength,EnergyRecBeg,EnergyRecPeak,EnergyRecEnd,ZenithAngle,AbsMag,F,Mass_kg,Kb,IAU_code
20230101082244_5HamS,18.92544,69.35839,68.0757,1.28269,1.38,0.929485507,117.1052,87.9482,2.58E-08,2.57E-06,5.52E-06,93.944466,2.084904247,96.92602855,220.8086457,71.07456,-2.77,0.844,0.00084,6.658470694,  ICT
20230101083156_B01Kp,25.92639,27.12072,26.42932,0.6914,1.03,0.671262136,96.7417,84.7473,1.12E-06,5.10E-06,8.95E-06,27.2221996,4.713782224,23.17417082,42.35920182,64.07361,0.59,0.7,0.000191,7.21199453,  PIP
20230101084712_4sLbL,59.34317,55.40807,55.29488,0.11319,0.73,0.155054795,109.4458,76.5492,7.98E-08,1.01E-05,2.88E-05,40.3652624,1.127461825,107.4339339,347.2359427,30.65683,-1.88,0.773,0.000166,6.693821691,  ...
20230101093355_jV9za,38.13858,70.60846,68.96171,1.64675,0.27,6.099074074,114.2318,102.8976,3.74E-08,8.81E-08,2.98E-07,18.6196617,1.478632476,2.674345654,6.487167618,51.86142,-0.38,0.475,2.04E-05,6.699474126,  ...
20230101095559_RDH4S,70.93588,37.26243,36.98729,0.27514,0.24,1.146416667,87.562,79.2966,5.84E-06,1.34E-05,1.99E-05,8.8769496,23.95385074,60.50297109,93.78785625,19.06412,0.19,0.66,3.22E-05,8.106537791,  PGE
20230101105920_qrxTL,67.04203,64.48152,63.80932,0.6722,0.25,2.6888,105.006,92.5868,1.90E-07,4.94E-07,2.28E-06,15.95233,2.69684876,5.928544819,26.44149685,22.95797,-0.16,0.37,1.66E-05,7.221009991,  ...
20230101121407_f2wXA,49.01201,38.40147,36.08693,2.31454,0.44,5.260318182,97.4961,85.1551,8.65E-07,3.52E-06,7.45E-06,15.8782492,4.516786607,17.98287328,37.6785406,40.98799,-0.16,0.63,7.24E-05,7.358831513,  ...
20230101121529_HMohf,59.46774,75.11285,71.46244,3.65041,0.28,13.03717857,116.5686,98.8752,2.83E-08,1.45E-07,6.63E-07,20.0094832,0.912710242,3.005027563,10.61429582,30.53226,0.98,0.565,6.32E-06,6.573554082,  ...
20230101121928_uA7eA,74.47996,61.71777,61.4326,0.28517,0.24,1.188208333,106.981,94.6883,1.34E-07,5.29E-07,1.46E-06,14.743824,1.790270282,5.713498684,15.30162605,15.52004,-1.05,0.568,3.37E-05,7.01218091,  ...
20230101122126_q2HIV,55.7667,44.55708,44.39372,0.16336,0.21,0.777904762,97.8975,90.1755,7.98E-07,1.80E-06,3.24E-06,9.3226812,5.151688915,11.62454468,21.38638654,34.2333,0.2,0.567,2.15E-05,7.465498584,  ...
20230101122506_boHWn,79.31314,63.26988,60.67323,2.59665,0.32,8.11453125,109.5264,92.9089,8.55E-08,3.46E-07,1.99E-06,19.4154336,1.291593483,3.889524764,20.25029899,10.68686,-2.54,0.444,0.000237,6.838742585,  ...
20230101123744_IY3Fs,63.71588,58.53764,57.27733,1.26031,0.44,2.864340909,107.7866,87.824,1.17E-07,1.16E-06,4.65E-06,25.2020252,1.545367873,11.73073138,48.75070714,26.28412,-1.37,0.6,9.36E-05,6.911521361,  ...
